split-a 2000000 1000000 
a11 0 250000 split-a 
a12 0 250000 split-a 
a21 0 250000 split-a 
a22 0 250000 split-a 
split-b 2000000 1000000 
b11 0 250000 split-b 
b12 0 250000 split-b 
b21 0 250000 split-b 
b22 0 250000 split-b 
a11*b11 125000000 250000 a11 b11 
a12*b21 125000000 250000 a12 b21 
C11 250000 250000 a11*b11 a12*b21   
a11*b12 125000000 250000 a11 b12 
a12*b22 125000000 250000 a12 b22 
C12 250000 250000 a11*b12 a12*b22  
a21*b11 125000000 250000 a21 b11 
a22*b21 125000000 250000 a22 b21 
C21 250000 250000 a21*b11 a22*b21  
a21*b12 125000000 250000 a21 b12 
a22*b22 125000000 250000 a22 b22 
C22 250000 250000 a21*b12 a22*b22  
Fusion 2000000 1000000 C11 C12 C21 C22 

