split-a 20000 10000 
a1 0 2500 split-a 
a2 0 2500 split-a 
a3 0 2500 split-a 
a4 0 2500 split-a 
split-b 20000 10000 
b1 0 2500 split-b 
b2 0 2500 split-b 
b3 0 2500 split-b 
b4 0 2500 split-b 
split-a1 5000 2500 
a11 0 625 split-a1 
a12 0 625 split-a1 
a13 0 625 split-a1 
a14 0 625 split-a1 
split-b1 5000 2500 
b11 0 625 split-b1 
b12 0 625 split-b1 
b13 0 625 split-b1 
b14 0 625 split-b1 
llc11 15625 625 a11 b11 
rlc11 15625 625 a12 b13 
somme(lc11 ) llc11 and rlc11 
llc12 15625 625 a11 b12 
rlc12 15625 625 a12 b14 
somme(lc12 ) llc12 and rlc12 
llc13 15625 625 a13 b11 
rlc13 15625 625 a14 b13 
somme(lc13 ) llc13 and rlc13 
llc14 15625 625 a13 b12 
rlc14 15625 625 a14 b14 
somme(lc14 ) llc14 and rlc14 
fusion(lc1) lc11 lc12 lc13 lc14 
split-a2 5000 2500 
a21 0 625 split-a2 
a22 0 625 split-a2 
a23 0 625 split-a2 
a24 0 625 split-a2 
split-b3 5000 2500 
b31 0 625 split-b3 
b32 0 625 split-b3 
b33 0 625 split-b3 
b34 0 625 split-b3 
lrc11 15625 625 a21 b31 
rrc11 15625 625 a22 b33 
somme(rc11 ) lrc11 and rrc11 
lrc12 15625 625 a21 b32 
rrc12 15625 625 a22 b34 
somme(rc12 ) lrc12 and rrc12 
lrc13 15625 625 a23 b31 
rrc13 15625 625 a24 b33 
somme(rc13 ) lrc13 and rrc13 
lrc14 15625 625 a23 b32 
rrc14 15625 625 a24 b34 
somme(rc14 ) lrc14 and rrc14 
fusion(rc1) rc11 rc12 rc13 rc14 
somme(c1 ) lc1 and rc1 
split-a1 5000 2500 
a11 0 625 split-a1 
a12 0 625 split-a1 
a13 0 625 split-a1 
a14 0 625 split-a1 
split-b2 5000 2500 
b21 0 625 split-b2 
b22 0 625 split-b2 
b23 0 625 split-b2 
b24 0 625 split-b2 
llc21 15625 625 a11 b21 
rlc21 15625 625 a12 b23 
somme(lc21 ) llc21 and rlc21 
llc22 15625 625 a11 b22 
rlc22 15625 625 a12 b24 
somme(lc22 ) llc22 and rlc22 
llc23 15625 625 a13 b21 
rlc23 15625 625 a14 b23 
somme(lc23 ) llc23 and rlc23 
llc24 15625 625 a13 b22 
rlc24 15625 625 a14 b24 
somme(lc24 ) llc24 and rlc24 
fusion(lc2) lc21 lc22 lc23 lc24 
split-a2 5000 2500 
a21 0 625 split-a2 
a22 0 625 split-a2 
a23 0 625 split-a2 
a24 0 625 split-a2 
split-b4 5000 2500 
b41 0 625 split-b4 
b42 0 625 split-b4 
b43 0 625 split-b4 
b44 0 625 split-b4 
lrc21 15625 625 a21 b41 
rrc21 15625 625 a22 b43 
somme(rc21 ) lrc21 and rrc21 
lrc22 15625 625 a21 b42 
rrc22 15625 625 a22 b44 
somme(rc22 ) lrc22 and rrc22 
lrc23 15625 625 a23 b41 
rrc23 15625 625 a24 b43 
somme(rc23 ) lrc23 and rrc23 
lrc24 15625 625 a23 b42 
rrc24 15625 625 a24 b44 
somme(rc24 ) lrc24 and rrc24 
fusion(rc2) rc21 rc22 rc23 rc24 
somme(c2 ) lc2 and rc2 
split-a3 5000 2500 
a31 0 625 split-a3 
a32 0 625 split-a3 
a33 0 625 split-a3 
a34 0 625 split-a3 
split-b1 5000 2500 
b11 0 625 split-b1 
b12 0 625 split-b1 
b13 0 625 split-b1 
b14 0 625 split-b1 
llc31 15625 625 a31 b11 
rlc31 15625 625 a32 b13 
somme(lc31 ) llc31 and rlc31 
llc32 15625 625 a31 b12 
rlc32 15625 625 a32 b14 
somme(lc32 ) llc32 and rlc32 
llc33 15625 625 a33 b11 
rlc33 15625 625 a34 b13 
somme(lc33 ) llc33 and rlc33 
llc34 15625 625 a33 b12 
rlc34 15625 625 a34 b14 
somme(lc34 ) llc34 and rlc34 
fusion(lc3) lc31 lc32 lc33 lc34 
split-a4 5000 2500 
a41 0 625 split-a4 
a42 0 625 split-a4 
a43 0 625 split-a4 
a44 0 625 split-a4 
split-b3 5000 2500 
b31 0 625 split-b3 
b32 0 625 split-b3 
b33 0 625 split-b3 
b34 0 625 split-b3 
lrc31 15625 625 a41 b31 
rrc31 15625 625 a42 b33 
somme(rc31 ) lrc31 and rrc31 
lrc32 15625 625 a41 b32 
rrc32 15625 625 a42 b34 
somme(rc32 ) lrc32 and rrc32 
lrc33 15625 625 a43 b31 
rrc33 15625 625 a44 b33 
somme(rc33 ) lrc33 and rrc33 
lrc34 15625 625 a43 b32 
rrc34 15625 625 a44 b34 
somme(rc34 ) lrc34 and rrc34 
fusion(rc3) rc31 rc32 rc33 rc34 
somme(c3 ) lc3 and rc3 
split-a3 5000 2500 
a31 0 625 split-a3 
a32 0 625 split-a3 
a33 0 625 split-a3 
a34 0 625 split-a3 
split-b2 5000 2500 
b21 0 625 split-b2 
b22 0 625 split-b2 
