M_size B_size W D T_attendu T_simul 
2000 500 8036000000 141750000 811416666.666667 781750000 
2000 250 8052000000 32062500 703062500 705312500 
2000 100 8091000000 17190000 691440000 712090000 
3000 500 27099000000 162250000 2420500000 2327750000 
3000 250 27121750000 52312500 2312458333.33333 2339187500 
3000 100 27279000000 37290000 2310540000 2365670000 
4000 500 64208000000 190750000 5541416666.66667 5508250000 
4000 250 64242250000 80562500 5434083333.33333 5498875000 
4000 100 64639000000 65390000 5451973333.33333 5563300000 
5000 500 125375000000 227250000 10675166666.6667 10713500000 
5000 250 125484375000 116812500 10573843750 10693187500 
