split-a 800 400 
a11 0 100 split-a 
a12 0 100 split-a 
a21 0 100 split-a 
a22 0 100 split-a 
split-b 800 400 
b11 0 100 split-b 
b12 0 100 split-b 
b21 0 100 split-b 
b22 0 100 split-b 
a11*b11 1000 100 a11 b11 
a12*b21 1000 100 a12 b21 
C11 400 100 a11*b11 a12*b21
a11*b12 1000 100 a11 b12 
a12*b22 1000 100 a12 b22 
C12 400 100 a11*b12 a12*b22
a21*b11 1000 100 a21 b11 
a22*b21 1000 100 a22 b21 
C21 400 100 a21*b11 a22*b21
a21*b12 1000 100 a21 b12 
a22*b22 1000 100 a22 b22 
C22 400 100 a21*b12 a22*b22
Fusion 800 400 C11 C12 C21 C22 
