split-a 2048 1024 
a11 0 16 split-a 
a12 0 16 split-a 
a13 0 16 split-a 
a14 0 16 split-a 
a15 0 16 split-a 
a16 0 16 split-a 
a17 0 16 split-a 
a18 0 16 split-a 
a21 0 16 split-a 
a22 0 16 split-a 
a23 0 16 split-a 
a24 0 16 split-a 
a25 0 16 split-a 
a26 0 16 split-a 
a27 0 16 split-a 
a28 0 16 split-a 
a31 0 16 split-a 
a32 0 16 split-a 
a33 0 16 split-a 
a34 0 16 split-a 
a35 0 16 split-a 
a36 0 16 split-a 
a37 0 16 split-a 
a38 0 16 split-a 
a41 0 16 split-a 
a42 0 16 split-a 
a43 0 16 split-a 
a44 0 16 split-a 
a45 0 16 split-a 
a46 0 16 split-a 
a47 0 16 split-a 
a48 0 16 split-a 
a51 0 16 split-a 
a52 0 16 split-a 
a53 0 16 split-a 
a54 0 16 split-a 
a55 0 16 split-a 
a56 0 16 split-a 
a57 0 16 split-a 
a58 0 16 split-a 
a61 0 16 split-a 
a62 0 16 split-a 
a63 0 16 split-a 
a64 0 16 split-a 
a65 0 16 split-a 
a66 0 16 split-a 
a67 0 16 split-a 
a68 0 16 split-a 
a71 0 16 split-a 
a72 0 16 split-a 
a73 0 16 split-a 
a74 0 16 split-a 
a75 0 16 split-a 
a76 0 16 split-a 
a77 0 16 split-a 
a78 0 16 split-a 
a81 0 16 split-a 
a82 0 16 split-a 
a83 0 16 split-a 
a84 0 16 split-a 
a85 0 16 split-a 
a86 0 16 split-a 
a87 0 16 split-a 
a88 0 16 split-a 
split-b 2048 1024 
b11 0 16 split-b 
b12 0 16 split-b 
b13 0 16 split-b 
b14 0 16 split-b 
b15 0 16 split-b 
b16 0 16 split-b 
b17 0 16 split-b 
b18 0 16 split-b 
b21 0 16 split-b 
b22 0 16 split-b 
b23 0 16 split-b 
b24 0 16 split-b 
b25 0 16 split-b 
b26 0 16 split-b 
b27 0 16 split-b 
b28 0 16 split-b 
b31 0 16 split-b 
b32 0 16 split-b 
b33 0 16 split-b 
b34 0 16 split-b 
b35 0 16 split-b 
b36 0 16 split-b 
b37 0 16 split-b 
b38 0 16 split-b 
b41 0 16 split-b 
b42 0 16 split-b 
b43 0 16 split-b 
b44 0 16 split-b 
b45 0 16 split-b 
b46 0 16 split-b 
b47 0 16 split-b 
b48 0 16 split-b 
b51 0 16 split-b 
b52 0 16 split-b 
b53 0 16 split-b 
b54 0 16 split-b 
b55 0 16 split-b 
b56 0 16 split-b 
b57 0 16 split-b 
b58 0 16 split-b 
b61 0 16 split-b 
b62 0 16 split-b 
b63 0 16 split-b 
b64 0 16 split-b 
b65 0 16 split-b 
b66 0 16 split-b 
b67 0 16 split-b 
b68 0 16 split-b 
b71 0 16 split-b 
b72 0 16 split-b 
b73 0 16 split-b 
b74 0 16 split-b 
b75 0 16 split-b 
b76 0 16 split-b 
b77 0 16 split-b 
b78 0 16 split-b 
b81 0 16 split-b 
b82 0 16 split-b 
b83 0 16 split-b 
b84 0 16 split-b 
b85 0 16 split-b 
b86 0 16 split-b 
b87 0 16 split-b 
b88 0 16 split-b 
a11*b11 64 16 a11 b11 
a12*b21 64 16 a12 b21 
a13*b31 64 16 a13 b31 
a14*b41 64 16 a14 b41 
a15*b51 64 16 a15 b51 
a16*b61 64 16 a16 b61 
a17*b71 64 16 a17 b71 
a18*b81 64 16 a18 b81 
C11 64 16 a11*b11 a12*b21 a13*b31 a14*b41 a15*b51 a16*b61 a17*b71 a18*b81 
a11*b12 64 16 a11 b12 
a12*b22 64 16 a12 b22 
a13*b32 64 16 a13 b32 
a14*b42 64 16 a14 b42 
a15*b52 64 16 a15 b52 
a16*b62 64 16 a16 b62 
a17*b72 64 16 a17 b72 
a18*b82 64 16 a18 b82 
C12 64 16 a11*b12 a12*b22 a13*b32 a14*b42 a15*b52 a16*b62 a17*b72 a18*b82 
a11*b13 64 16 a11 b13 
a12*b23 64 16 a12 b23 
a13*b33 64 16 a13 b33 
a14*b43 64 16 a14 b43 
a15*b53 64 16 a15 b53 
a16*b63 64 16 a16 b63 
a17*b73 64 16 a17 b73 
a18*b83 64 16 a18 b83 
C13 64 16 a11*b13 a12*b23 a13*b33 a14*b43 a15*b53 a16*b63 a17*b73 a18*b83 
a11*b14 64 16 a11 b14 
a12*b24 64 16 a12 b24 
a13*b34 64 16 a13 b34 
a14*b44 64 16 a14 b44 
a15*b54 64 16 a15 b54 
a16*b64 64 16 a16 b64 
a17*b74 64 16 a17 b74 
a18*b84 64 16 a18 b84 
C14 64 16 a11*b14 a12*b24 a13*b34 a14*b44 a15*b54 a16*b64 a17*b74 a18*b84 
a11*b15 64 16 a11 b15 
a12*b25 64 16 a12 b25 
a13*b35 64 16 a13 b35 
a14*b45 64 16 a14 b45 
a15*b55 64 16 a15 b55 
a16*b65 64 16 a16 b65 
a17*b75 64 16 a17 b75 
a18*b85 64 16 a18 b85 
C15 64 16 a11*b15 a12*b25 a13*b35 a14*b45 a15*b55 a16*b65 a17*b75 a18*b85 
a11*b16 64 16 a11 b16 
a12*b26 64 16 a12 b26 
a13*b36 64 16 a13 b36 
a14*b46 64 16 a14 b46 
a15*b56 64 16 a15 b56 
a16*b66 64 16 a16 b66 
a17*b76 64 16 a17 b76 
a18*b86 64 16 a18 b86 
C16 64 16 a11*b16 a12*b26 a13*b36 a14*b46 a15*b56 a16*b66 a17*b76 a18*b86 
a11*b17 64 16 a11 b17 
a12*b27 64 16 a12 b27 
a13*b37 64 16 a13 b37 
a14*b47 64 16 a14 b47 
a15*b57 64 16 a15 b57 
a16*b67 64 16 a16 b67 
a17*b77 64 16 a17 b77 
a18*b87 64 16 a18 b87 
C17 64 16 a11*b17 a12*b27 a13*b37 a14*b47 a15*b57 a16*b67 a17*b77 a18*b87 
a11*b18 64 16 a11 b18 
a12*b28 64 16 a12 b28 
a13*b38 64 16 a13 b38 
a14*b48 64 16 a14 b48 
a15*b58 64 16 a15 b58 
a16*b68 64 16 a16 b68 
a17*b78 64 16 a17 b78 
