split-a 720000 360000 
a1 0 90000 split-a 
a2 0 90000 split-a 
a3 0 90000 split-a 
a4 0 90000 split-a 
split-b 720000 360000 
b1 0 90000 split-b 
b2 0 90000 split-b 
b3 0 90000 split-b 
b4 0 90000 split-b 
lc1 27000000 90000 a1 b1 
rc1 27000000 90000 a2 b3 
c1 360000 90000 lc1 rc1 
lc2 27000000 90000 a1 b2 
rc2 27000000 90000 a2 b4 
c2 360000 90000 lc2 rc2 
lc3 27000000 90000 a3 b1 
rc3 27000000 90000 a4 b3 
c3 360000 90000 lc3 rc3 
lc4 27000000 90000 a3 b2 
rc4 27000000 90000 a4 b4 
c4 360000 90000 lc4 rc4 
c 720000 360000 c1 c2 c3 c4 
