split-a 180000 90000 
a11 0 10000 split-a 
a12 0 10000 split-a 
a13 0 10000 split-a 
a21 0 10000 split-a 
a22 0 10000 split-a 
a23 0 10000 split-a 
a31 0 10000 split-a 
a32 0 10000 split-a 
a33 0 10000 split-a 
split-b 180000 90000 
b11 0 10000 split-b 
b12 0 10000 split-b 
b13 0 10000 split-b 
b21 0 10000 split-b 
b22 0 10000 split-b 
b23 0 10000 split-b 
b31 0 10000 split-b 
b32 0 10000 split-b 
b33 0 10000 split-b 
a11*b11 1000000 10000 a11 b11 
a12*b21 1000000 10000 a12 b21 
a13*b31 1000000 10000 a13 b31 
C11 40000 10000 a11*b11 a12*b21 a13*b31
a11*b12 1000000 10000 a11 b12 
a12*b22 1000000 10000 a12 b22 
a13*b32 1000000 10000 a13 b32 
C12 40000 10000 a11*b12 a12*b22 a13*b32
a11*b13 1000000 10000 a11 b13 
a12*b23 1000000 10000 a12 b23 
a13*b33 1000000 10000 a13 b33 
C13 40000 10000 a11*b13 a12*b23 a13*b33
a21*b11 1000000 10000 a21 b11 
a22*b21 1000000 10000 a22 b21 
a23*b31 1000000 10000 a23 b31 
C21 40000 10000 a21*b11 a22*b21 a23*b31
a21*b12 1000000 10000 a21 b12 
a22*b22 1000000 10000 a22 b22 
a23*b32 1000000 10000 a23 b32 
C22 40000 10000 a21*b12 a22*b22 a23*b32
a21*b13 1000000 10000 a21 b13 
a22*b23 1000000 10000 a22 b23 
a23*b33 1000000 10000 a23 b33 
C23 40000 10000 a21*b13 a22*b23 a23*b33
a31*b11 1000000 10000 a31 b11 
a32*b21 1000000 10000 a32 b21 
a33*b31 1000000 10000 a33 b31 
C31 40000 10000 a31*b11 a32*b21 a33*b31
a31*b12 1000000 10000 a31 b12 
a32*b22 1000000 10000 a32 b22 
a33*b32 1000000 10000 a33 b32 
C32 40000 10000 a31*b12 a32*b22 a33*b32
a31*b13 1000000 10000 a31 b13 
a32*b23 1000000 10000 a32 b23 
a33*b33 1000000 10000 a33 b33 
C33 40000 10000 a31*b13 a32*b23 a33*b33
Fusion 180000 90000 C11 C12 C13 C21 C22 C23 C31 C32 C33 
