split-a 500000 250000 
a11 0 10000 split-a 
a12 0 10000 split-a 
a13 0 10000 split-a 
a14 0 10000 split-a 
a15 0 10000 split-a 
a21 0 10000 split-a 
a22 0 10000 split-a 
a23 0 10000 split-a 
a24 0 10000 split-a 
a25 0 10000 split-a 
a31 0 10000 split-a 
a32 0 10000 split-a 
a33 0 10000 split-a 
a34 0 10000 split-a 
a35 0 10000 split-a 
a41 0 10000 split-a 
a42 0 10000 split-a 
a43 0 10000 split-a 
a44 0 10000 split-a 
a45 0 10000 split-a 
a51 0 10000 split-a 
a52 0 10000 split-a 
a53 0 10000 split-a 
a54 0 10000 split-a 
a55 0 10000 split-a 
split-b 500000 250000 
b11 0 10000 split-b 
b12 0 10000 split-b 
b13 0 10000 split-b 
b14 0 10000 split-b 
b15 0 10000 split-b 
b21 0 10000 split-b 
b22 0 10000 split-b 
b23 0 10000 split-b 
b24 0 10000 split-b 
b25 0 10000 split-b 
b31 0 10000 split-b 
b32 0 10000 split-b 
b33 0 10000 split-b 
b34 0 10000 split-b 
b35 0 10000 split-b 
b41 0 10000 split-b 
b42 0 10000 split-b 
b43 0 10000 split-b 
b44 0 10000 split-b 
b45 0 10000 split-b 
b51 0 10000 split-b 
b52 0 10000 split-b 
b53 0 10000 split-b 
b54 0 10000 split-b 
b55 0 10000 split-b 
a11*b11 1000000 10000 a11 b11 
a12*b21 1000000 10000 a12 b21 
a13*b31 1000000 10000 a13 b31 
a14*b41 1000000 10000 a14 b41 
a15*b51 1000000 10000 a15 b51 
C11 40000 10000 a11*b11 a12*b21 a13*b31 a14*b41 a15*b51
a11*b12 1000000 10000 a11 b12 
a12*b22 1000000 10000 a12 b22 
a13*b32 1000000 10000 a13 b32 
a14*b42 1000000 10000 a14 b42 
a15*b52 1000000 10000 a15 b52 
C12 40000 10000 a11*b12 a12*b22 a13*b32 a14*b42 a15*b52
a11*b13 1000000 10000 a11 b13 
a12*b23 1000000 10000 a12 b23 
a13*b33 1000000 10000 a13 b33 
a14*b43 1000000 10000 a14 b43 
a15*b53 1000000 10000 a15 b53 
C13 40000 10000 a11*b13 a12*b23 a13*b33 a14*b43 a15*b53
a11*b14 1000000 10000 a11 b14 
a12*b24 1000000 10000 a12 b24 
a13*b34 1000000 10000 a13 b34 
a14*b44 1000000 10000 a14 b44 
a15*b54 1000000 10000 a15 b54 
C14 40000 10000 a11*b14 a12*b24 a13*b34 a14*b44 a15*b54
a11*b15 1000000 10000 a11 b15 
a12*b25 1000000 10000 a12 b25 
a13*b35 1000000 10000 a13 b35 
a14*b45 1000000 10000 a14 b45 
a15*b55 1000000 10000 a15 b55 
