split-a 6272 3136 
a11 0 64 split-a 
a12 0 64 split-a 
a13 0 64 split-a 
a14 0 64 split-a 
a15 0 64 split-a 
a16 0 64 split-a 
a17 0 64 split-a 
a21 0 64 split-a 
a22 0 64 split-a 
a23 0 64 split-a 
a24 0 64 split-a 
a25 0 64 split-a 
a26 0 64 split-a 
a27 0 64 split-a 
a31 0 64 split-a 
a32 0 64 split-a 
a33 0 64 split-a 
a34 0 64 split-a 
a35 0 64 split-a 
a36 0 64 split-a 
a37 0 64 split-a 
a41 0 64 split-a 
a42 0 64 split-a 
a43 0 64 split-a 
a44 0 64 split-a 
a45 0 64 split-a 
a46 0 64 split-a 
a47 0 64 split-a 
a51 0 64 split-a 
a52 0 64 split-a 
a53 0 64 split-a 
a54 0 64 split-a 
a55 0 64 split-a 
a56 0 64 split-a 
a57 0 64 split-a 
a61 0 64 split-a 
a62 0 64 split-a 
a63 0 64 split-a 
a64 0 64 split-a 
a65 0 64 split-a 
a66 0 64 split-a 
a67 0 64 split-a 
a71 0 64 split-a 
a72 0 64 split-a 
a73 0 64 split-a 
a74 0 64 split-a 
a75 0 64 split-a 
a76 0 64 split-a 
a77 0 64 split-a 
split-b 6272 3136 
b11 0 64 split-b 
b12 0 64 split-b 
b13 0 64 split-b 
b14 0 64 split-b 
b15 0 64 split-b 
b16 0 64 split-b 
b17 0 64 split-b 
b21 0 64 split-b 
b22 0 64 split-b 
b23 0 64 split-b 
b24 0 64 split-b 
b25 0 64 split-b 
b26 0 64 split-b 
b27 0 64 split-b 
b31 0 64 split-b 
b32 0 64 split-b 
b33 0 64 split-b 
b34 0 64 split-b 
b35 0 64 split-b 
b36 0 64 split-b 
b37 0 64 split-b 
b41 0 64 split-b 
b42 0 64 split-b 
b43 0 64 split-b 
b44 0 64 split-b 
b45 0 64 split-b 
b46 0 64 split-b 
b47 0 64 split-b 
b51 0 64 split-b 
b52 0 64 split-b 
b53 0 64 split-b 
b54 0 64 split-b 
b55 0 64 split-b 
b56 0 64 split-b 
b57 0 64 split-b 
b61 0 64 split-b 
b62 0 64 split-b 
b63 0 64 split-b 
b64 0 64 split-b 
b65 0 64 split-b 
b66 0 64 split-b 
b67 0 64 split-b 
b71 0 64 split-b 
b72 0 64 split-b 
b73 0 64 split-b 
b74 0 64 split-b 
b75 0 64 split-b 
b76 0 64 split-b 
b77 0 64 split-b 
a11*b11 512 64 a11 b11 
a12*b21 512 64 a12 b21 
a13*b31 512 64 a13 b31 
a14*b41 512 64 a14 b41 
a15*b51 512 64 a15 b51 
a16*b61 512 64 a16 b61 
a17*b71 512 64 a17 b71 
C11 256 64 a11*b11 a12*b21 a13*b31 a14*b41 a15*b51 a16*b61 a17*b71 
a11*b12 512 64 a11 b12 
a12*b22 512 64 a12 b22 
a13*b32 512 64 a13 b32 
a14*b42 512 64 a14 b42 
a15*b52 512 64 a15 b52 
a16*b62 512 64 a16 b62 
a17*b72 512 64 a17 b72 
C12 256 64 a11*b12 a12*b22 a13*b32 a14*b42 a15*b52 a16*b62 a17*b72 
a11*b13 512 64 a11 b13 
a12*b23 512 64 a12 b23 
a13*b33 512 64 a13 b33 
a14*b43 512 64 a14 b43 
a15*b53 512 64 a15 b53 
a16*b63 512 64 a16 b63 
a17*b73 512 64 a17 b73 
C13 256 64 a11*b13 a12*b23 a13*b33 a14*b43 a15*b53 a16*b63 a17*b73 
a11*b14 512 64 a11 b14 
a12*b24 512 64 a12 b24 
a13*b34 512 64 a13 b34 
a14*b44 512 64 a14 b44 
a15*b54 512 64 a15 b54 
a16*b64 512 64 a16 b64 
a17*b74 512 64 a17 b74 
C14 256 64 a11*b14 a12*b24 a13*b34 a14*b44 a15*b54 a16*b64 a17*b74 
a11*b15 512 64 a11 b15 
a12*b25 512 64 a12 b25 
a13*b35 512 64 a13 b35 
