split-a 80000 40000 
a1 0 10000 split-a 
a2 0 10000 split-a 
a3 0 10000 split-a 
a4 0 10000 split-a 
split-b 80000 40000 
b1 0 10000 split-b 
b2 0 10000 split-b 
b3 0 10000 split-b 
b4 0 10000 split-b 
lc1 1000000 10000 a1 b1 
rc1 1000000 10000 a2 b3 
c1 40000 10000 lc1 rc1 
lc2 1000000 10000 a1 b2 
rc2 1000000 10000 a2 b4 
c2 40000 10000 lc2 rc2 
lc3 1000000 10000 a3 b1 
rc3 1000000 10000 a4 b3 
c3 40000 10000 lc3 rc3 
lc4 1000000 10000 a3 b2 
rc4 1000000 10000 a4 b4 
c4 40000 10000 lc4 rc4 
c 80000 40000 c1 c2 c3 c4 
