split-a 200 100 
split-b 200 100 
a11 1 4 split-a 
a12 1 4 split-a 
a13 1 4 split-a 
a14 1 4 split-a 
a15 1 4 split-a 
a21 1 4 split-a 
a22 1 4 split-a 
a23 1 4 split-a 
a24 1 4 split-a 
a25 1 4 split-a 
a31 1 4 split-a 
a32 1 4 split-a 
a33 1 4 split-a 
a34 1 4 split-a 
a35 1 4 split-a 
a41 1 4 split-a 
a42 1 4 split-a 
a43 1 4 split-a 
a44 1 4 split-a 
a45 1 4 split-a 
a51 1 4 split-a 
a52 1 4 split-a 
a53 1 4 split-a 
a54 1 4 split-a 
a55 1 4 split-a 
b11 1 4 split-b 
b12 1 4 split-b 
b13 1 4 split-b 
b14 1 4 split-b 
b15 1 4 split-b 
b21 1 4 split-b 
b22 1 4 split-b 
b23 1 4 split-b 
b24 1 4 split-b 
b25 1 4 split-b 
b31 1 4 split-b 
b32 1 4 split-b 
b33 1 4 split-b 
b34 1 4 split-b 
b35 1 4 split-b 
b41 1 4 split-b 
b42 1 4 split-b 
b43 1 4 split-b 
b44 1 4 split-b 
b45 1 4 split-b 
b51 1 4 split-b 
b52 1 4 split-b 
b53 1 4 split-b 
b54 1 4 split-b 
b55 1 4 split-b 
a11b11 8 4 a11 b11 
a12b21 8 4 a12 b21 
a13b31 8 4 a13 b31 
a14b41 8 4 a14 b41 
a15b51 8 4 a15 b51 
C11 4 4 a11b11 a12b21 a13b31 a14b41 a15b51 
a11b12 8 4 a11 b12 
a12b22 8 4 a12 b22 
a13b32 8 4 a13 b32 
a14b42 8 4 a14 b42 
a15b52 8 4 a15 b52 
C12 4 4 a11b12 a12b22 a13b32 a14b42 a15b52 
a11b13 8 4 a11 b13 
a12b23 8 4 a12 b23 
a13b33 8 4 a13 b33 
a14b43 8 4 a14 b43 
a15b53 8 4 a15 b53 
C13 4 4 a11b13 a12b23 a13b33 a14b43 a15b53 
a11b14 8 4 a11 b14 
a12b24 8 4 a12 b24 
a13b34 8 4 a13 b34 
a14b44 8 4 a14 b44 
a15b54 8 4 a15 b54 
C14 4 4 a11b14 a12b24 a13b34 a14b44 a15b54 
a11b15 8 4 a11 b15 
a12b25 8 4 a12 b25 
a13b35 8 4 a13 b35 
a14b45 8 4 a14 b45 
a15b55 8 4 a15 b55 
C15 4 4 a11b15 a12b25 a13b35 a14b45 a15b55 
a21b11 8 4 a21 b11 
a22b21 8 4 a22 b21 
a23b31 8 4 a23 b31 
a24b41 8 4 a24 b41 
a25b51 8 4 a25 b51 
C21 4 4 a21b11 a22b21 a23b31 a24b41 a25b51 
a21b12 8 4 a21 b12 
a22b22 8 4 a22 b22 
a23b32 8 4 a23 b32 
a24b42 8 4 a24 b42 
a25b52 8 4 a25 b52 
C22 4 4 a21b12 a22b22 a23b32 a24b42 a25b52 
a21b13 8 4 a21 b13 
a22b23 8 4 a22 b23 
a23b33 8 4 a23 b33 
a24b43 8 4 a24 b43 
a25b53 8 4 a25 b53 
C23 4 4 a21b13 a22b23 a23b33 a24b43 a25b53 
a21b14 8 4 a21 b14 
a22b24 8 4 a22 b24 
a23b34 8 4 a23 b34 
a24b44 8 4 a24 b44 
a25b54 8 4 a25 b54 
C24 4 4 a21b14 a22b24 a23b34 a24b44 a25b54 
a21b15 8 4 a21 b15 
a22b25 8 4 a22 b25 
a23b35 8 4 a23 b35 
a24b45 8 4 a24 b45 
a25b55 8 4 a25 b55 
C25 4 4 a21b15 a22b25 a23b35 a24b45 a25b55 
a31b11 8 4 a31 b11 
a32b21 8 4 a32 b21 
a33b31 8 4 a33 b31 
a34b41 8 4 a34 b41 
a35b51 8 4 a35 b51 
C31 4 4 a31b11 a32b21 a33b31 a34b41 a35b51 
a31b12 8 4 a31 b12 
a32b22 8 4 a32 b22 
a33b32 8 4 a33 b32 
a34b42 8 4 a34 b42 
a35b52 8 4 a35 b52 
C32 4 4 a31b12 a32b22 a33b32 a34b42 a35b52 
a31b13 8 4 a31 b13 
a32b23 8 4 a32 b23 
a33b33 8 4 a33 b33 
a34b43 8 4 a34 b43 
a35b53 8 4 a35 b53 
C33 4 4 a31b13 a32b23 a33b33 a34b43 a35b53 
a31b14 8 4 a31 b14 
a32b24 8 4 a32 b24 
a33b34 8 4 a33 b34 
a34b44 8 4 a34 b44 
a35b54 8 4 a35 b54 
C34 4 4 a31b14 a32b24 a33b34 a34b44 a35b54 
a31b15 8 4 a31 b15 
a32b25 8 4 a32 b25 
a33b35 8 4 a33 b35 
a34b45 8 4 a34 b45 
a35b55 8 4 a35 b55 
C35 4 4 a31b15 a32b25 a33b35 a34b45 a35b55 
a41b11 8 4 a41 b11 
a42b21 8 4 a42 b21 
a43b31 8 4 a43 b31 
a44b41 8 4 a44 b41 
a45b51 8 4 a45 b51 
C41 4 4 a41b11 a42b21 a43b31 a44b41 a45b51 
a41b12 8 4 a41 b12 
a42b22 8 4 a42 b22 
a43b32 8 4 a43 b32 
a44b42 8 4 a44 b42 
a45b52 8 4 a45 b52 
C42 4 4 a41b12 a42b22 a43b32 a44b42 a45b52 
a41b13 8 4 a41 b13 
a42b23 8 4 a42 b23 
a43b33 8 4 a43 b33 
a44b43 8 4 a44 b43 
a45b53 8 4 a45 b53 
C43 4 4 a41b13 a42b23 a43b33 a44b43 a45b53 
a41b14 8 4 a41 b14 
a42b24 8 4 a42 b24 
a43b34 8 4 a43 b34 
a44b44 8 4 a44 b44 
a45b54 8 4 a45 b54 
C44 4 4 a41b14 a42b24 a43b34 a44b44 a45b54 
a41b15 8 4 a41 b15 
a42b25 8 4 a42 b25 
a43b35 8 4 a43 b35 
a44b45 8 4 a44 b45 
a45b55 8 4 a45 b55 
C45 4 4 a41b15 a42b25 a43b35 a44b45 a45b55 
a51b11 8 4 a51 b11 
a52b21 8 4 a52 b21 
a53b31 8 4 a53 b31 
a54b41 8 4 a54 b41 
a55b51 8 4 a55 b51 
C51 4 4 a51b11 a52b21 a53b31 a54b41 a55b51 
a51b12 8 4 a51 b12 
a52b22 8 4 a52 b22 
a53b32 8 4 a53 b32 
a54b42 8 4 a54 b42 
a55b52 8 4 a55 b52 
C52 4 4 a51b12 a52b22 a53b32 a54b42 a55b52 
a51b13 8 4 a51 b13 
a52b23 8 4 a52 b23 
a53b33 8 4 a53 b33 
a54b43 8 4 a54 b43 
a55b53 8 4 a55 b53 
C53 4 4 a51b13 a52b23 a53b33 a54b43 a55b53 
a51b14 8 4 a51 b14 
a52b24 8 4 a52 b24 
a53b34 8 4 a53 b34 
a54b44 8 4 a54 b44 
a55b54 8 4 a55 b54 
C54 4 4 a51b14 a52b24 a53b34 a54b44 a55b54 
a51b15 8 4 a51 b15 
a52b25 8 4 a52 b25 
a53b35 8 4 a53 b35 
a54b45 8 4 a54 b45 
a55b55 8 4 a55 b55 
C55 4 4 a51b15 a52b25 a53b35 a54b45 a55b55 
Fusion 200 100 C11 C12 C13 C14 C15 C21 C22 C23 C24 C25 C31 C32 C33 C34 C35 C41 C42 C43 C44 C45 C51 C52 C53 C54 C55 
