#using seed 0.076213
#PROCESSORS: 16, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	10	488	0	6250600	16	100000000	100	2	20                              	268338115	0	368338115	0
0.5	10	426	0	6250522	16	100000000	100	2	20                              	239101309	0	339101309	0
0.5	10	428	0	6250524	16	100000000	100	2	20                              	226653759	0	326653759	0
0.5	10	491	0	6250605	16	100000000	100	2	20                              	237596110	0	337596110	0
0.5	10	547	0	6250673	16	100000000	100	2	20                              	243320000	0	343320000	0
0.5	10	527	0	6250647	16	100000000	100	2	20                              	249604447	0	349604447	0
0.5	10	543	0	6250670	16	100000000	100	2	20                              	244244563	0	344244563	0
0.5	10	429	0	6250527	16	100000000	100	2	20                              	234670155	0	334670155	0
0.5	10	436	0	6250534	16	100000000	100	2	20                              	255692673	0	355692673	0
0.5	10	406	0	6250495	16	100000000	100	2	20                              	236402363	0	336402363	0
0.5	10	475	0	6250584	16	100000000	100	2	20                              	244708305	0	344708305	0
0.5	10	491	0	6250604	16	100000000	100	2	20                              	244322351	0	344322351	0
0.5	10	504	0	6250619	16	100000000	100	2	20                              	246089796	0	346089796	0
0.5	10	536	0	6250660	16	100000000	100	2	20                              	233390476	0	333390476	0
0.5	10	498	0	6250612	16	100000000	100	2	20                              	238539687	0	338539687	0
0.5	10	447	0	6250547	16	100000000	100	2	20                              	254201686	0	354201686	0
0.5	10	535	0	6250659	16	100000000	100	2	20                              	248032164	0	348032164	0
0.5	10	412	0	6250505	16	100000000	100	2	20                              	219532284	0	319532284	0
0.5	10	502	0	6250617	16	100000000	100	2	20                              	249313396	0	349313396	0
0.5	10	456	0	6250559	16	100000000	100	2	20                              	246382795	0	346382795	0
0.5	10	396	0	6250486	16	100000000	100	2	20                              	247955977	0	347955977	0
0.5	10	670	0	6250826	16	100000000	100	2	20                              	271206932	0	371206932	0
0.5	10	479	0	6250587	16	100000000	100	2	20                              	246803411	0	346803411	0
0.5	10	598	0	6250738	16	100000000	100	2	20                              	278546560	0	378546560	0
0.5	10	435	0	6250533	16	100000000	100	2	20                              	244147857	0	344147857	0
0.5	10	429	0	6250526	16	100000000	100	2	20                              	233043731	0	333043731	0
0.5	10	531	0	6250655	16	100000000	100	2	20                              	232843524	0	332843524	0
0.5	10	431	0	6250529	16	100000000	100	2	20                              	246011695	0	346011695	0
0.5	10	514	0	6250632	16	100000000	100	2	20                              	235735366	0	335735366	0
0.5	10	493	0	6250606	16	100000000	100	2	20                              	240577927	0	340577927	0
0.5	10	499	0	6250613	16	100000000	100	2	20                              	237323330	0	337323330	0
0.5	10	529	0	6250651	16	100000000	100	2	20                              	261515220	0	361515220	0
0.5	10	520	0	6250640	16	100000000	100	2	20                              	251420719	0	351420719	0
0.5	10	369	0	6250451	16	100000000	100	2	20                              	241907261	0	341907261	0
0.5	10	454	0	6250557	16	100000000	100	2	20                              	238758795	0	338758795	0
0.5	10	511	0	6250628	16	100000000	100	2	20                              	237251419	0	337251419	0
0.5	10	491	0	6250603	16	100000000	100	2	20                              	250099093	0	350099093	0
0.5	10	566	0	6250697	16	100000000	100	2	20                              	248188456	0	348188456	0
0.5	10	501	0	6250613	16	100000000	100	2	20                              	251343289	0	351343289	0
0.5	10	352	0	6250430	16	100000000	100	2	20                              	241201697	0	341201697	0
0.5	10	524	0	6250645	16	100000000	100	2	20                              	265014204	0	365014204	0
0.5	10	493	0	6250607	16	100000000	100	2	20                              	244546027	0	344546027	0
0.5	10	633	0	6250782	16	100000000	100	2	20                              	297668096	0	397668096	0
0.5	10	426	0	6250520	16	100000000	100	2	20                              	233786572	0	333786572	0
0.5	10	518	0	6250638	16	100000000	100	2	20                              	268207435	0	368207435	0
0.5	10	484	0	6250595	16	100000000	100	2	20                              	242938445	0	342938445	0
