#using seed 0.044804
# Work:9321255, depth:282845, work/p+depth:865423.4375
#PROCESSORS: 16, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	100	7169	0	672097	16	9321255	100	2	200                              	42405	0	9321255	0
0.5	100	8106	0	683799	16	9321255	100	2	200                              	35486	0	9321255	0
0.5	100	6961	0	669503	16	9321255	100	2	200                              	34505	0	9321255	0
0.5	100	8952	0	694391	16	9321255	100	2	200                              	38415	0	9321255	0
0.5	100	7851	0	680600	16	9321255	100	2	200                              	36374	0	9321255	0
0.5	100	6508	0	663826	16	9321255	100	2	200                              	40496	0	9321255	0
0.5	100	7450	0	675592	16	9321255	100	2	200                              	36323	0	9321255	0
0.5	100	9081	0	695968	16	9321255	100	2	200                              	35960	0	9321255	0
0.5	100	9940	0	706734	16	9321255	100	2	200                              	39236	0	9321255	0
0.5	100	10196	0	709926	16	9321255	100	2	200                              	39172	0	9321255	0
0.5	100	9018	0	695203	16	9321255	100	2	200                              	36048	0	9321255	0
0.5	100	7659	0	678197	16	9321255	100	2	200                              	36704	0	9321255	0
0.5	100	6914	0	668899	16	9321255	100	2	200                              	36954	0	9321255	0
0.5	100	7716	0	678920	16	9321255	100	2	200                              	38343	0	9321255	0
0.5	100	8571	0	689640	16	9321255	100	2	200                              	37386	0	9321255	0
0.5	100	7131	0	671579	16	9321255	100	2	200                              	42463	0	9321255	0
0.5	100	7818	0	680195	16	9321255	100	2	200                              	40266	0	9321255	0
0.5	100	6603	0	665025	16	9321255	100	2	200                              	42430	0	9321255	0
0.5	100	10454	0	713147	16	9321255	100	2	200                              	39203	0	9321255	0
0.5	100	6652	0	665604	16	9321255	100	2	200                              	40625	0	9321255	0
0.5	100	7473	0	675867	16	9321255	100	2	200                              	36422	0	9321255	0
0.5	100	6880	0	668480	16	9321255	100	2	200                              	43224	0	9321255	0
0.5	100	9996	0	707407	16	9321255	100	2	200                              	42503	0	9321255	0
0.5	100	8384	0	687236	16	9321255	100	2	200                              	38210	0	9321255	0
0.5	100	7740	0	679213	16	9321255	100	2	200                              	41876	0	9321255	0
0.5	100	7272	0	673386	16	9321255	100	2	200                              	42109	0	9321255	0
0.5	100	6013	0	657631	16	9321255	100	2	200                              	36173	0	9321255	0
0.5	100	7485	0	676043	16	9321255	100	2	200                              	40321	0	9321255	0
0.5	100	7306	0	673808	16	9321255	100	2	200                              	40923	0	9321255	0
0.5	100	7032	0	670367	16	9321255	100	2	200                              	43496	0	9321255	0
0.5	100	8366	0	687039	16	9321255	100	2	200                              	42077	0	9321255	0
0.5	100	9699	0	703699	16	9321255	100	2	200                              	39228	0	9321255	0
0.5	100	8444	0	688012	16	9321255	100	2	200                              	34609	0	9321255	0
0.5	100	9043	0	695529	16	9321255	100	2	200                              	41523	0	9321255	0
0.5	100	9970	0	707086	16	9321255	100	2	200                              	36392	0	9321255	0
0.5	100	10225	0	710288	16	9321255	100	2	200                              	35764	0	9321255	0
0.5	100	7227	0	672813	16	9321255	100	2	200                              	38671	0	9321255	0
0.5	100	8249	0	685586	16	9321255	100	2	200                              	43735	0	9321255	0
0.5	100	9590	0	702337	16	9321255	100	2	200                              	41117	0	9321255	0
0.5	100	8612	0	690119	16	9321255	100	2	200                              	39351	0	9321255	0
0.5	100	8480	0	688452	16	9321255	100	2	200                              	40337	0	9321255	0
0.5	100	8793	0	692380	16	9321255	100	2	200                              	40342	0	9321255	0
0.5	100	8137	0	684210	16	9321255	100	2	200                              	41718	0	9321255	0
0.5	100	7855	0	680681	16	9321255	100	2	200                              	42605	0	9321255	0
0.5	100	7883	0	681002	16	9321255	100	2	200                              	35610	0	9321255	0
0.5	100	5722	0	654006	16	9321255	100	2	200                              	37030	0	9321255	0
0.5	100	6969	0	669585	16	9321255	100	2	200                              	38146	0	9321255	0
0.5	100	7181	0	672248	16	9321255	100	2	200                              	36900	0	9321255	0
0.5	100	7546	0	676803	16	9321255	100	2	200                              	39012	0	9321255	0
0.5	100	8147	0	684314	16	9321255	100	2	200                              	40695	0	9321255	0
0.5	100	9210	0	697587	16	9321255	100	2	200                              	37432	0	9321255	0
0.5	100	8910	0	693828	16	9321255	100	2	200                              	35857	0	9321255	0
0.5	100	7007	0	670070	16	9321255	100	2	200                              	43332	0	9321255	0
0.5	100	7603	0	677515	16	9321255	100	2	200                              	39032	0	9321255	0
0.5	100	9546	0	701808	16	9321255	100	2	200                              	39156	0	9321255	0
0.5	100	8773	0	692125	16	9321255	100	2	200                              	37498	0	9321255	0
0.5	100	7817	0	680166	16	9321255	100	2	200                              	36285	0	9321255	0
0.5	100	7211	0	672622	16	9321255	100	2	200                              	37604	0	9321255	0
0.5	100	8275	0	685915	16	9321255	100	2	200                              	36001	0	9321255	0
0.5	100	6639	0	665445	16	9321255	100	2	200                              	38268	0	9321255	0
0.5	100	9748	0	704318	16	9321255	100	2	200                              	41453	0	9321255	0
0.5	100	8223	0	685269	16	9321255	100	2	200                              	39223	0	9321255	0
0.5	100	7982	0	682266	16	9321255	100	2	200                              	40999	0	9321255	0
0.5	100	6609	0	665086	16	9321255	100	2	200                              	38619	0	9321255	0
0.5	100	8296	0	686166	16	9321255	100	2	200                              	43747	0	9321255	0
0.5	100	9564	0	702028	16	9321255	100	2	200                              	39441	0	9321255	0
0.5	100	8726	0	691552	16	9321255	100	2	200                              	41932	0	9321255	0
0.5	100	8833	0	692887	16	9321255	100	2	200                              	35791	0	9321255	0
0.5	100	7903	0	681263	16	9321255	100	2	200                              	37794	0	9321255	0
0.5	100	7573	0	677154	16	9321255	100	2	200                              	37735	0	9321255	0
0.5	100	6577	0	664700	16	9321255	100	2	200                              	42785	0	9321255	0
0.5	100	7044	0	670502	16	9321255	100	2	200                              	40209	0	9321255	0
0.5	100	8474	0	688402	16	9321255	100	2	200                              	39109	0	9321255	0
0.5	100	9322	0	698983	16	9321255	100	2	200                              	37935	0	9321255	0
0.5	100	9063	0	695796	16	9321255	100	2	200                              	37157	0	9321255	0
0.5	100	9066	0	695786	16	9321255	100	2	200                              	37705	0	9321255	0
0.5	100	8357	0	686904	16	9321255	100	2	200                              	42022	0	9321255	0
0.5	100	7488	0	676090	16	9321255	100	2	200                              	36539	0	9321255	0
0.5	100	6175	0	659691	16	9321255	100	2	200                              	40284	0	9321255	0
0.5	100	7751	0	679373	16	9321255	100	2	200                              	38960	0	9321255	0
0.5	100	7794	0	679878	16	9321255	100	2	200                              	42711	0	9321255	0
0.5	100	6427	0	662802	16	9321255	100	2	200                              	42717	0	9321255	0
0.5	100	8359	0	686937	16	9321255	100	2	200                              	42490	0	9321255	0
0.5	100	7749	0	679311	16	9321255	100	2	200                              	39769	0	9321255	0
0.5	100	7487	0	676053	16	9321255	100	2	200                              	35846	0	9321255	0
0.5	100	5735	0	654179	16	9321255	100	2	200                              	35631	0	9321255	0
0.5	100	6356	0	661907	16	9321255	100	2	200                              	39189	0	9321255	0
0.5	100	6985	0	669790	16	9321255	100	2	200                              	40839	0	9321255	0
0.5	100	6980	0	669687	16	9321255	100	2	200                              	43057	0	9321255	0
0.5	100	10770	0	717081	16	9321255	100	2	200                              	39278	0	9321255	0
0.5	100	9174	0	697141	16	9321255	100	2	200                              	41941	0	9321255	0
0.5	100	9336	0	699160	16	9321255	100	2	200                              	35444	0	9321255	0
0.5	100	8891	0	693621	16	9321255	100	2	200                              	37571	0	9321255	0
0.5	100	7285	0	673548	16	9321255	100	2	200                              	39924	0	9321255	0
0.5	100	9222	0	697744	16	9321255	100	2	200                              	41534	0	9321255	0
0.5	100	6688	0	666076	16	9321255	100	2	200                              	36648	0	9321255	0
0.5	100	7446	0	675544	16	9321255	100	2	200                              	39186	0	9321255	0
0.5	100	8582	0	689763	16	9321255	100	2	200                              	36698	0	9321255	0
0.5	100	7702	0	678739	16	9321255	100	2	200                              	38021	0	9321255	0
0.5	100	8494	0	688629	16	9321255	100	2	200                              	40078	0	9321255	0
0.5	1100	1491	0	786512	16	9321255	100	2	2200                              	38480	0	9321255	0
0.5	1100	1362	0	768302	16	9321255	100	2	2200                              	40852	0	9321255	0
0.5	1100	1616	0	803720	16	9321255	100	2	2200                              	39679	0	9321255	0
0.5	1100	1278	0	757078	16	9321255	100	2	2200                              	33958	0	9321255	0
0.5	1100	1577	0	797874	16	9321255	100	2	2200                              	39338	0	9321255	0
0.5	1100	1479	0	784619	16	9321255	100	2	2200                              	39478	0	9321255	0
0.5	1100	1409	0	774925	16	9321255	100	2	2200                              	38973	0	9321255	0
0.5	1100	1620	0	804014	16	9321255	100	2	2200                              	37748	0	9321255	0
0.5	1100	1605	0	802014	16	9321255	100	2	2200                              	38617	0	9321255	0
0.5	1100	1601	0	801371	16	9321255	100	2	2200                              	39087	0	9321255	0
0.5	1100	1634	0	806030	16	9321255	100	2	2200                              	41303	0	9321255	0
0.5	1100	1476	0	784167	16	9321255	100	2	2200                              	38339	0	9321255	0
0.5	1100	1304	0	760584	16	9321255	100	2	2200                              	40236	0	9321255	0
0.5	1100	1449	0	780947	16	9321255	100	2	2200                              	33876	0	9321255	0
0.5	1100	1760	0	823271	16	9321255	100	2	2200                              	34644	0	9321255	0
0.5	1100	1888	0	841122	16	9321255	100	2	2200                              	39942	0	9321255	0
0.5	1100	1273	0	756810	16	9321255	100	2	2200                              	37110	0	9321255	0
0.5	1100	1404	0	774634	16	9321255	100	2	2200                              	39130	0	9321255	0
0.5	1100	1412	0	775791	16	9321255	100	2	2200                              	35336	0	9321255	0
0.5	1100	1670	0	810926	16	9321255	100	2	2200                              	36592	0	9321255	0
0.5	1100	1450	0	780609	16	9321255	100	2	2200                              	40931	0	9321255	0
0.5	1100	1541	0	793383	16	9321255	100	2	2200                              	40353	0	9321255	0
0.5	1100	1567	0	796704	16	9321255	100	2	2200                              	36435	0	9321255	0
0.5	1100	1595	0	800764	16	9321255	100	2	2200                              	35246	0	9321255	0
0.5	1100	1471	0	783551	16	9321255	100	2	2200                              	41205	0	9321255	0
0.5	1100	1327	0	763773	16	9321255	100	2	2200                              	39558	0	9321255	0
0.5	1100	1433	0	778575	16	9321255	100	2	2200                              	35090	0	9321255	0
0.5	1100	1508	0	788826	16	9321255	100	2	2200                              	35670	0	9321255	0
0.5	1100	1442	0	779588	16	9321255	100	2	2200                              	37760	0	9321255	0
0.5	1100	1491	0	786643	16	9321255	100	2	2200                              	39263	0	9321255	0
0.5	1100	1623	0	804942	16	9321255	100	2	2200                              	38424	0	9321255	0
0.5	1100	1282	0	757808	16	9321255	100	2	2200                              	38607	0	9321255	0
0.5	1100	1759	0	823155	16	9321255	100	2	2200                              	35262	0	9321255	0
0.5	1100	1503	0	788185	16	9321255	100	2	2200                              	35768	0	9321255	0
0.5	1100	1544	0	793689	16	9321255	100	2	2200                              	33878	0	9321255	0
0.5	1100	1393	0	773111	16	9321255	100	2	2200                              	38783	0	9321255	0
0.5	1100	1629	0	805519	16	9321255	100	2	2200                              	34481	0	9321255	0
0.5	1100	1570	0	797357	16	9321255	100	2	2200                              	38363	0	9321255	0
0.5	1100	1530	0	791611	16	9321255	100	2	2200                              	40201	0	9321255	0
0.5	1100	1644	0	807661	16	9321255	100	2	2200                              	37455	0	9321255	0
0.5	1100	1495	0	786827	16	9321255	100	2	2200                              	37914	0	9321255	0
0.5	1100	1634	0	806112	16	9321255	100	2	2200                              	38798	0	9321255	0
0.5	1100	1504	0	788070	16	9321255	100	2	2200                              	38249	0	9321255	0
0.5	1100	1543	0	793461	16	9321255	100	2	2200                              	34658	0	9321255	0
0.5	1100	1381	0	771396	16	9321255	100	2	2200                              	36100	0	9321255	0
0.5	1100	1394	0	773178	16	9321255	100	2	2200                              	35718	0	9321255	0
0.5	1100	1501	0	787754	16	9321255	100	2	2200                              	38621	0	9321255	0
0.5	1100	1487	0	785900	16	9321255	100	2	2200                              	35704	0	9321255	0
0.5	1100	1475	0	784327	16	9321255	100	2	2200                              	33148	0	9321255	0
0.5	1100	1350	0	766894	16	9321255	100	2	2200                              	36636	0	9321255	0
0.5	1100	1356	0	767819	16	9321255	100	2	2200                              	35783	0	9321255	0
0.5	1100	1532	0	791912	16	9321255	100	2	2200                              	36409	0	9321255	0
0.5	1100	1369	0	769678	16	9321255	100	2	2200                              	40152	0	9321255	0
0.5	1100	1661	0	809972	16	9321255	100	2	2200                              	34590	0	9321255	0
0.5	1100	1497	0	787378	16	9321255	100	2	2200                              	40208	0	9321255	0
0.5	1100	1360	0	768476	16	9321255	100	2	2200                              	37251	0	9321255	0
0.5	1100	1407	0	774644	16	9321255	100	2	2200                              	36379	0	9321255	0
0.5	1100	1406	0	774912	16	9321255	100	2	2200                              	34640	0	9321255	0
0.5	1100	1457	0	781620	16	9321255	100	2	2200                              	35870	0	9321255	0
0.5	1100	1587	0	799631	16	9321255	100	2	2200                              	37701	0	9321255	0
0.5	1100	1543	0	793677	16	9321255	100	2	2200                              	40827	0	9321255	0
0.5	1100	1514	0	789576	16	9321255	100	2	2200                              	38027	0	9321255	0
0.5	1100	1539	0	792807	16	9321255	100	2	2200                              	39150	0	9321255	0
0.5	1100	1580	0	798685	16	9321255	100	2	2200                              	39979	0	9321255	0
0.5	1100	1433	0	778474	16	9321255	100	2	2200                              	39372	0	9321255	0
0.5	1100	1477	0	784819	16	9321255	100	2	2200                              	34328	0	9321255	0
0.5	1100	1637	0	806544	16	9321255	100	2	2200                              	37867	0	9321255	0
0.5	1100	1483	0	785341	16	9321255	100	2	2200                              	36688	0	9321255	0
0.5	1100	1832	0	833064	16	9321255	100	2	2200                              	38365	0	9321255	0
0.5	1100	1576	0	798058	16	9321255	100	2	2200                              	37385	0	9321255	0
0.5	1100	1693	0	814254	16	9321255	100	2	2200                              	33372	0	9321255	0
0.5	1100	1552	0	794887	16	9321255	100	2	2200                              	34227	0	9321255	0
0.5	1100	1453	0	781317	16	9321255	100	2	2200                              	35151	0	9321255	0
0.5	1100	1400	0	773823	16	9321255	100	2	2200                              	36348	0	9321255	0
0.5	1100	1630	0	805485	16	9321255	100	2	2200                              	33464	0	9321255	0
0.5	1100	1540	0	793129	16	9321255	100	2	2200                              	41980	0	9321255	0
0.5	1100	1565	0	796605	16	9321255	100	2	2200                              	40359	0	9321255	0
0.5	1100	1588	0	799625	16	9321255	100	2	2200                              	38274	0	9321255	0
0.5	1100	1430	0	778145	16	9321255	100	2	2200                              	38279	0	9321255	0
0.5	1100	1500	0	787717	16	9321255	100	2	2200                              	34502	0	9321255	0
0.5	1100	1334	0	764902	16	9321255	100	2	2200                              	38795	0	9321255	0
0.5	1100	1332	0	764454	16	9321255	100	2	2200                              	36996	0	9321255	0
0.5	1100	1521	0	790809	16	9321255	100	2	2200                              	39751	0	9321255	0
0.5	1100	1382	0	771700	16	9321255	100	2	2200                              	36510	0	9321255	0
0.5	1100	1325	0	763417	16	9321255	100	2	2200                              	37933	0	9321255	0
0.5	1100	1719	0	817784	16	9321255	100	2	2200                              	36525	0	9321255	0
0.5	1100	1344	0	766350	16	9321255	100	2	2200                              	37237	0	9321255	0
0.5	1100	1411	0	775578	16	9321255	100	2	2200                              	35772	0	9321255	0
0.5	1100	1541	0	793500	16	9321255	100	2	2200                              	39264	0	9321255	0
0.5	1100	1445	0	780099	16	9321255	100	2	2200                              	38707	0	9321255	0
0.5	1100	1430	0	778043	16	9321255	100	2	2200                              	38204	0	9321255	0
0.5	1100	1914	0	844455	16	9321255	100	2	2200                              	39793	0	9321255	0
0.5	1100	1762	0	823679	16	9321255	100	2	2200                              	37419	0	9321255	0
0.5	1100	1385	0	772050	16	9321255	100	2	2200                              	36671	0	9321255	0
0.5	1100	1536	0	792493	16	9321255	100	2	2200                              	34598	0	9321255	0
0.5	1100	1540	0	793083	16	9321255	100	2	2200                              	41603	0	9321255	0
0.5	1100	1614	0	803191	16	9321255	100	2	2200                              	39624	0	9321255	0
0.5	1100	1729	0	819238	16	9321255	100	2	2200                              	32841	0	9321255	0
0.5	1100	1579	0	798579	16	9321255	100	2	2200                              	38302	0	9321255	0
0.5	1100	1473	0	784045	16	9321255	100	2	2200                              	36960	0	9321255	0
0.5	2100	1160	0	885202	16	9321255	100	2	4200                              	32799	0	9321255	0
0.5	2100	1058	0	858052	16	9321255	100	2	4200                              	32200	0	9321255	0
0.5	2100	951	0	830510	16	9321255	100	2	4200                              	32100	0	9321255	0
0.5	2100	1124	0	874961	16	9321255	100	2	4200                              	36586	0	9321255	0
0.5	2100	1278	0	916127	16	9321255	100	2	4200                              	37252	0	9321255	0
0.5	2100	1147	0	881821	16	9321255	100	2	4200                              	34998	0	9321255	0
0.5	2100	1090	0	866494	16	9321255	100	2	4200                              	37683	0	9321255	0
0.5	2100	1283	0	916669	16	9321255	100	2	4200                              	32219	0	9321255	0
0.5	2100	1018	0	847173	16	9321255	100	2	4200                              	36140	0	9321255	0
0.5	2100	1079	0	863495	16	9321255	100	2	4200                              	31196	0	9321255	0
0.5	2100	1054	0	857343	16	9321255	100	2	4200                              	39173	0	9321255	0
0.5	2100	1138	0	879307	16	9321255	100	2	4200                              	36711	0	9321255	0
0.5	2100	1206	0	897356	16	9321255	100	2	4200                              	32490	0	9321255	0
0.5	2100	1038	0	852173	16	9321255	100	2	4200                              	37298	0	9321255	0
0.5	2100	1068	0	860165	16	9321255	100	2	4200                              	36840	0	9321255	0
0.5	2100	1129	0	877106	16	9321255	100	2	4200                              	36113	0	9321255	0
0.5	2100	1129	0	876636	16	9321255	100	2	4200                              	34673	0	9321255	0
0.5	2100	1153	0	882777	16	9321255	100	2	4200                              	37376	0	9321255	0
0.5	2100	1239	0	906029	16	9321255	100	2	4200                              	37702	0	9321255	0
0.5	2100	1130	0	876780	16	9321255	100	2	4200                              	36806	0	9321255	0
0.5	2100	1093	0	867235	16	9321255	100	2	4200                              	39682	0	9321255	0
0.5	2100	1089	0	866603	16	9321255	100	2	4200                              	34011	0	9321255	0
0.5	2100	1161	0	885121	16	9321255	100	2	4200                              	34291	0	9321255	0
0.5	2100	1012	0	846258	16	9321255	100	2	4200                              	33804	0	9321255	0
0.5	2100	1118	0	873475	16	9321255	100	2	4200                              	37176	0	9321255	0
0.5	2100	1002	0	843587	16	9321255	100	2	4200                              	37335	0	9321255	0
0.5	2100	1048	0	855766	16	9321255	100	2	4200                              	32913	0	9321255	0
0.5	2100	1213	0	898551	16	9321255	100	2	4200                              	37665	0	9321255	0
0.5	2100	1154	0	883825	16	9321255	100	2	4200                              	39130	0	9321255	0
0.5	2100	1091	0	866797	16	9321255	100	2	4200                              	32199	0	9321255	0
0.5	2100	1115	0	873066	16	9321255	100	2	4200                              	34436	0	9321255	0
0.5	2100	1022	0	848635	16	9321255	100	2	4200                              	33980	0	9321255	0
0.5	2100	1001	0	843059	16	9321255	100	2	4200                              	36415	0	9321255	0
0.5	2100	973	0	835214	16	9321255	100	2	4200                              	36503	0	9321255	0
0.5	2100	1122	0	874605	16	9321255	100	2	4200                              	32310	0	9321255	0
0.5	2100	1263	0	912144	16	9321255	100	2	4200                              	37584	0	9321255	0
0.5	2100	1223	0	901024	16	9321255	100	2	4200                              	34245	0	9321255	0
0.5	2100	979	0	837660	16	9321255	100	2	4200                              	32811	0	9321255	0
0.5	2100	1150	0	882350	16	9321255	100	2	4200                              	37039	0	9321255	0
0.5	2100	1017	0	847688	16	9321255	100	2	4200                              	34831	0	9321255	0
0.5	2100	962	0	832203	16	9321255	100	2	4200                              	36785	0	9321255	0
0.5	2100	1072	0	862075	16	9321255	100	2	4200                              	37283	0	9321255	0
0.5	2100	1220	0	900451	16	9321255	100	2	4200                              	37340	0	9321255	0
