#using seed 0.052402
#PROCESSORS: 256, RUNS: 100
#prb	R-l	ISR	ESR	runTime	processors    	work	taskThreshold	lGranularity	rGranularity	IDATAT	EDATAT	W0	W1
0.5	10	10237	0	39852	256	10000000	1000	2	20                              	46972188	0	56972188	0
0.5	10	10192	0	39849	256	10000000	1000	2	20                              	46757036	0	56757036	0
0.5	10	8496	0	39716	256	10000000	1000	2	20                              	46429572	0	56429572	0
0.5	10	9319	0	39781	256	10000000	1000	2	20                              	46869599	0	56869599	0
0.5	10	9772	0	39816	256	10000000	1000	2	20                              	46676809	0	56676809	0
0.5	10	9081	0	39762	256	10000000	1000	2	20                              	46298662	0	56298662	0
0.5	10	10505	0	39872	256	10000000	1000	2	20                              	48681122	0	58681122	0
0.5	10	10333	0	39859	256	10000000	1000	2	20                              	48819382	0	58819382	0
0.5	10	9330	0	39781	256	10000000	1000	2	20                              	45310454	0	55310454	0
0.5	10	10199	0	39849	256	10000000	1000	2	20                              	46794698	0	56794698	0
0.5	10	9343	0	39782	256	10000000	1000	2	20                              	46416576	0	56416576	0
0.5	10	11071	0	39917	256	10000000	1000	2	20                              	46986426	0	56986426	0
0.5	10	8841	0	39743	256	10000000	1000	2	20                              	46406660	0	56406660	0
0.5	10	10576	0	39879	256	10000000	1000	2	20                              	47708317	0	57708317	0
0.5	10	9119	0	39765	256	10000000	1000	2	20                              	46245751	0	56245751	0
0.5	10	11682	0	39965	256	10000000	1000	2	20                              	50437976	0	60437976	0
0.5	10	9838	0	39821	256	10000000	1000	2	20                              	46782003	0	56782003	0
0.5	10	10731	0	39891	256	10000000	1000	2	20                              	46004238	0	56004238	0
0.5	10	9889	0	39825	256	10000000	1000	2	20                              	47303194	0	57303194	0
0.5	10	12656	0	40041	256	10000000	1000	2	20                              	46465501	0	56465501	0
0.5	10	10900	0	39904	256	10000000	1000	2	20                              	45782036	0	55782036	0
0.5	10	10174	0	39847	256	10000000	1000	2	20                              	45239747	0	55239747	0
0.5	10	11174	0	39925	256	10000000	1000	2	20                              	47061368	0	57061368	0
0.5	10	8604	0	39724	256	10000000	1000	2	20                              	46881239	0	56881239	0
0.5	10	9686	0	39809	256	10000000	1000	2	20                              	46948055	0	56948055	0
0.5	10	9715	0	39811	256	10000000	1000	2	20                              	47428321	0	57428321	0
0.5	10	9189	0	39770	256	10000000	1000	2	20                              	45712760	0	55712760	0
0.5	10	9767	0	39815	256	10000000	1000	2	20                              	46263350	0	56263350	0
0.5	10	9959	0	39830	256	10000000	1000	2	20                              	46467464	0	56467464	0
0.5	10	9466	0	39792	256	10000000	1000	2	20                              	46821674	0	56821674	0
0.5	10	10028	0	39836	256	10000000	1000	2	20                              	46693523	0	56693523	0
0.5	10	9654	0	39807	256	10000000	1000	2	20                              	45775023	0	55775023	0
0.5	10	10400	0	39865	256	10000000	1000	2	20                              	45853945	0	55853945	0
0.5	10	10065	0	39839	256	10000000	1000	2	20                              	44888552	0	54888552	0
0.5	10	10011	0	39835	256	10000000	1000	2	20                              	47861278	0	57861278	0
0.5	10	9588	0	39801	256	10000000	1000	2	20                              	47013133	0	57013133	0
0.5	10	9715	0	39811	256	10000000	1000	2	20                              	47089492	0	57089492	0
0.5	10	9643	0	39806	256	10000000	1000	2	20                              	47582200	0	57582200	0
0.5	10	9880	0	39825	256	10000000	1000	2	20                              	47576784	0	57576784	0
0.5	10	11207	0	39928	256	10000000	1000	2	20                              	47146611	0	57146611	0
0.5	10	9636	0	39805	256	10000000	1000	2	20                              	46727179	0	56727179	0
0.5	10	10504	0	39873	256	10000000	1000	2	20                              	46317123	0	56317123	0
0.5	10	10421	0	39867	256	10000000	1000	2	20                              	47337572	0	57337572	0
